
2025/03/06 (01:26:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (01:26:32) | ===> btop++ v.1.4.0
2025/03/06 (01:26:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/06 (01:26:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (01:26:36) | ===> btop++ v.1.4.0
2025/03/06 (01:26:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/06 (01:26:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (14:09:59) | ===> btop++ v.1.4.0
2025/03/06 (14:09:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/06 (14:09:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (14:47:29) | ===> btop++ v.1.4.0
2025/03/06 (14:47:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/06 (14:47:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (14:47:33) | ===> btop++ v.1.4.0
2025/03/06 (14:47:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/06 (14:47:33) | WARNING: Intel GPU: Failed to initialize PMU
